JM20190402_0005.abf, ,JM20190402_0012.abf, ,JM20190402_0019.abf, ,JM20190402_0026.abf, ,JM20190402_0033.abf, ,JM20190402_0040.abf, ,JM20190402_0048.abf, ,JM20190402_0055.abf, ,JM20190403_0006.abf, ,JM20190403_0013.abf, ,JM20190403_0020.abf, ,JM20190403_0028.abf, ,JM20190403_0035.abf, ,JM20190403_0077.abf, ,JM20211202_0000.abf, ,JM20211202_0001.abf, ,JM20211202_0002.abf, ,JM20211202_0003.abf, ,JM20211202_0005.abf, 
-60.75526428222656,0,-60.53786087036133,0,-60.534637451171875,0,-60.917030334472656,0,-60.537288665771484,0,-60.54343795776367,0,-60.550926208496094,0,-60.56134796142578,0,-60.964576721191406,0,-60.50876998901367,0,-60.74920654296875,0,-60.543914794921875,0,-60.52468490600586,0,-60.58369064331055,0,-60.73775100708008,0,-60.96316909790039,0,-60.74674987792969,0,-60.89759826660156,0,-60.854835510253906,0,
-40.66728210449219,0,-39.84375762939453,0,-39.845298767089844,0,-40.88326644897461,0,-39.83522033691406,0,-39.820465087890625,0,-39.822486877441406,0,-39.85065460205078,0,-40.77024841308594,0,-39.84080505371094,0,-40.678733825683594,0,-39.82842254638672,0,-39.85435485839844,0,-39.825782775878906,0,-40.03664779663086,0,-40.81806182861328,0,-40.700340270996094,0,-40.228702545166016,0,-40.17924499511719,0,
-20.072036743164062,0,-19.851524353027344,0,-19.862350463867188,0,-20.215578079223633,0,-19.891345977783203,0,-19.868186950683594,0,-19.8824462890625,0,-19.882183074951172,0,-20.734895706176758,0,-19.900836944580078,0,-20.09283447265625,0,-19.847400665283203,0,-19.89690399169922,0,-19.874967575073242,0,-20.0611572265625,0,-20.127595901489258,0,-20.71988296508789,0,-20.19729995727539,0,-20.157249450683594,0,
0.004501461982727051,0,0.028240203857421875,0,0.0234527587890625,0,0.14324569702148438,0,0.028028488159179688,0,nan,0,0.5190219879150391,0,0.06782245635986328,0,-0.0035657882690429688,0,0.043487548828125,0,0.057358741760253906,0,-0.032886505126953125,0,0.23427200317382812,0,-0.16234207153320312,0,-0.02361440658569336,0,0.0189741849899292,0,-0.012355804443359375,0,nan,0,0.020020484924316406,0,
19.8465576171875,0,20.622575759887695,0,20.622238159179688,0,19.786828994750977,1,20.015113830566406,0,20.022048950195312,0,20.00107192993164,1,19.986934661865234,0,19.995140075683594,0,20.635129928588867,0,19.997949600219727,0,19.988372802734375,0,20.623876571655273,0,20.621240615844727,0,19.805896759033203,0,19.7829532623291,0,20.087589263916016,0,19.83712387084961,0,19.879562377929688,0,
40.42168426513672,1,40.580570220947266,0,40.48577880859375,3,40.26522445678711,4,40.49700927734375,0,40.519927978515625,2,40.50462341308594,4,40.48241424560547,2,39.64528274536133,0,40.51560974121094,0,39.65180969238281,0,40.54690933227539,1,40.49626922607422,0,40.5075569152832,0,40.36984634399414,5,40.291717529296875,2,39.81123352050781,0,40.30876922607422,2,40.36516571044922,0,
60.624691009521484,3,60.820655822753906,4,60.70793914794922,6,60.403255462646484,12,60.61648941040039,1,60.625770568847656,5,60.73087692260742,8,60.60735321044922,5,60.405616760253906,1,60.63349533081055,3,60.46966552734375,1,60.80306625366211,3,60.63568878173828,4,60.63438415527344,4,60.62937927246094,12,60.39878463745117,6,60.61370086669922,4,60.47216033935547,6,60.492061614990234,0,
80.60446166992188,8,80.81547546386719,8,80.7950439453125,9,80.39534759521484,16,80.62052917480469,3,80.61361694335938,9,80.81002807617188,12,80.57837677001953,9,80.42462158203125,4,80.72652435302734,8,80.5842056274414,4,80.80973815917969,6,80.69232940673828,7,80.62570190429688,10,80.63045501708984,18,80.39785766601562,10,80.59866333007812,7,80.44019317626953,11,80.49758911132812,3,
100.64115905761719,12,101.48147583007812,11,101.49227905273438,12,100.46757507324219,22,101.42809295654297,5,101.3124771118164,11,101.48629760742188,16,101.27281188964844,12,100.45230865478516,8,101.43254089355469,12,100.64556884765625,6,101.45994567871094,9,101.37545776367188,9,101.28993225097656,14,101.28376770019531,21,100.4559326171875,12,100.64799499511719,11,101.10186767578125,15,101.15599060058594,6,
121.38152313232422,14,121.56437683105469,15,121.5600814819336,14,121.16059112548828,23,121.57579040527344,8,121.54613494873047,16,121.56523132324219,19,121.5166015625,15,120.53268432617188,12,121.57109069824219,16,121.35309600830078,8,121.58111572265625,12,121.58843994140625,13,121.42561340332031,19,121.40151977539062,23,121.15809631347656,15,120.76571655273438,14,121.22317504882812,18,121.28804779052734,8,
